scope,key,n,n_clusters,beta,se,tstat,pvalue,ci_low,ci_high,boot_pvalue,boot_ci_low,boot_ci_high
pooled,all,120,8,-0.006139585257944693,0.01042312138633542,-0.5890351872898277,0.5558376694547122,-0.026568527781651315,0.014289357265761929,0.6148,-0.021309688259472017,0.013868356838203776
uf,GO,24,8,-0.0017317385040440504,,,,,,,,
uf,MG,24,8,-0.0196494891969976,,,,,,,,
uf,MS,24,8,-0.004336761803364036,,,,,,,,
uf,PR,24,8,0.007443593671888632,,,,,,,,
uf,SP,24,8,-0.01806849775771459,,,,,,,,
crop_year,2018/19,15,1,0.004422951441649712,,,,,,,,
leave_one_crop_year_out,2018/19,105,7,-0.010554905961310845,,,,,,,,
crop_year,2019/20,15,1,-0.07559054718100043,,,,,,,,
leave_one_crop_year_out,2019/20,105,7,-0.00890118941600654,,,,,,,,
crop_year,2020/21,15,1,-0.026284943058215594,,,,,,,,
leave_one_crop_year_out,2020/21,105,7,-0.0026610719302165063,,,,,,,,
crop_year,2021/22,15,1,-0.011210647897330606,,,,,,,,
leave_one_crop_year_out,2021/22,105,7,-0.012472893965488275,,,,,,,,
crop_year,2022/23,15,1,-0.011954319558948868,,,,,,,,
leave_one_crop_year_out,2022/23,105,7,-0.0036007006247998075,,,,,,,,
crop_year,2023/24,15,1,0.06752611193793938,,,,,,,,
leave_one_crop_year_out,2023/24,105,7,0.0030540177935125794,,,,,,,,
crop_year,2024/25,15,1,0.011520433112091884,,,,,,,,
leave_one_crop_year_out,2024/25,105,7,-0.005653357602478459,,,,,,,,
crop_year,2025/26,15,1,0.07202327311408652,,,,,,,,
leave_one_crop_year_out,2025/26,105,7,-0.00701688456477987,,,,,,,,
