scope,key,n,n_clusters,beta,se,tstat,pvalue,ci_low,ci_high,boot_pvalue,boot_ci_low,boot_ci_high
pooled,all,120,8,0.013392915296726735,0.008640535479505112,1.550009872477697,0.12113914644988233,-0.0035422230502438097,0.03032805364369728,0.2732,-0.006611619473049999,0.025736554437162634
uf,GO,24,8,0.0028546572755195456,,,,,,,,
uf,MG,24,8,0.020722944768648284,,,,,,,,
uf,MS,24,8,0.006562908585563696,,,,,,,,
uf,PR,24,8,0.01850636984074996,,,,,,,,
uf,SP,24,8,0.027178620534601964,,,,,,,,
crop_year,2018/19,15,1,-0.014018695935596884,,,,,,,,
leave_one_crop_year_out,2018/19,105,7,0.01865282806632204,,,,,,,,
crop_year,2019/20,15,1,0.03721797058381313,,,,,,,,
leave_one_crop_year_out,2019/20,105,7,0.011169905576203136,,,,,,,,
crop_year,2020/21,15,1,0.014304099653559752,,,,,,,,
leave_one_crop_year_out,2020/21,105,7,0.011688916592055896,,,,,,,,
crop_year,2021/22,15,1,-0.020287403929070313,,,,,,,,
leave_one_crop_year_out,2021/22,105,7,0.013342649943754632,,,,,,,,
crop_year,2022/23,15,1,-0.06270228557804226,,,,,,,,
leave_one_crop_year_out,2022/23,105,7,0.01114227623285592,,,,,,,,
crop_year,2023/24,15,1,-0.013873605137006308,,,,,,,,
leave_one_crop_year_out,2023/24,105,7,0.018104802395581446,,,,,,,,
crop_year,2024/25,15,1,0.01712210901808813,,,,,,,,
leave_one_crop_year_out,2024/25,105,7,0.01479211957367361,,,,,,,,
crop_year,2025/26,15,1,0.011320210974245487,,,,,,,,
leave_one_crop_year_out,2025/26,105,7,0.005480917338798919,,,,,,,,
