outcome,scope,unit,n,n_clusters,beta,tstat,boot_p_one_sided,ci_low,ci_high
contemp_usd,full,pooled,49,14,-0.0013296987777457324,-0.06867843259220162,0.5388,-0.039277007944561126,0.03661761038906966
contemp_usd,full,soy,28,7,-0.07121213748537497,-1.686445667814542,0.9092,-0.1539739052654909,0.011549630294740959
contemp_usd,full,corn_second,21,7,0.017893073933483744,1.0446223358480178,0.146,-0.015678657474950244,0.05146480534191773
contemp_usd,dev,pooled,14,4,-0.020459284616809344,-0.7013944381453177,0.756,-0.07763034104040294,0.03671177180678424
contemp_usd,dev,soy,8,2,0.02568680537873924,5.788889668827222,0.2524,0.016989936669818392,0.03438367408766009
contemp_usd,dev,corn_second,6,2,-0.07107369259449213,-10.901688242589557,1.0,-0.08385170225993696,-0.05829568292904729
contemp_usd,holdout,pooled,35,10,0.007791562482212719,0.3425007140590194,0.3622,-0.0367957368184215,0.05237886178284693
contemp_usd,holdout,soy,20,5,-0.11243643144281198,-2.2120938191391093,0.7622,-0.21205759319981254,-0.012815269685811412
contemp_usd,holdout,corn_second,15,5,0.029440288890409606,2.032435867915808,0.018,0.0010497714671814963,0.05783080631363771
contemp_brl,full,pooled,49,14,0.004521390014434738,0.28865994817375673,0.3908,-0.02617826764301364,0.03522104767188312
contemp_brl,full,soy,28,7,-0.06422097317897653,-1.54527633215369,0.8768,-0.14567617433867946,0.01723422798072642
contemp_brl,full,corn_second,21,7,0.023430558723160258,2.8833793257013887,0.0342,0.007503742981053899,0.03935737446526662
contemp_brl,dev,pooled,14,4,0.018891621872998116,2.1197609168862397,0.0216,0.001424133824857763,0.03635910992113847
contemp_brl,dev,soy,8,2,0.009309217546597685,0.8858614032355717,0.0,-0.011287380351152478,0.02990581544434785
contemp_brl,dev,corn_second,6,2,0.029401888767340165,2.0465930701646875,0.254,0.0012445359933457127,0.05755924154133461
contemp_brl,holdout,pooled,35,10,0.002643784478106457,0.13210279503562003,0.4466,-0.03658114152423503,0.041868710480447935
contemp_brl,holdout,soy,20,5,-0.10511028335746789,-2.253713091707067,0.7694,-0.19652048572239872,-0.01370008099253707
contemp_brl,holdout,corn_second,15,5,0.022046406594527647,2.1788303416569157,0.0538,0.002214590372920929,0.04187822281613436
fwd_usd,full,pooled,49,14,-0.016598536083498795,-0.9231357179379021,0.887,-0.051839868736531916,0.018642796569534326
fwd_usd,full,soy,28,7,-0.04103809495555899,-1.280061017106969,0.8782,-0.10387352782329473,0.02179733791217675
fwd_usd,full,corn_second,21,7,-0.009875873079051644,-0.4973185611262616,0.7662,-0.048797315116111725,0.029045568958008434
fwd_usd,dev,pooled,14,4,-0.011280887266652644,-0.5365731907455699,0.5742,-0.05248706964332635,0.029925295110021056
fwd_usd,dev,soy,8,2,0.016250261549906886,5.773159807049674,0.0,0.010733364661260012,0.021767158438553758
fwd_usd,dev,corn_second,6,2,-0.04147787250267291,-1.137926343189377,0.5064,-0.11291934738120446,0.02996360237585865
fwd_usd,holdout,pooled,35,10,-0.01731458880092765,-1.0202049069158408,0.8924,-0.05057846572103564,0.015949288119180338
fwd_usd,holdout,soy,20,5,-0.047908789839773806,-0.9332203773507834,0.726,-0.14852757711423956,0.05270999743469194
fwd_usd,holdout,corn_second,15,5,-0.011805676389227708,-0.6916895362514159,0.843,-0.04525811324611649,0.021646760467661078
fwd_brl,full,pooled,49,14,0.0040807013871401124,0.23874149237281858,0.427,-0.029420085053314678,0.0375814878275949
fwd_brl,full,soy,28,7,-0.018455127791593064,-0.45817338393241924,0.6512,-0.09740206593792136,0.06049181035473523
fwd_brl,full,corn_second,21,7,0.010279699735985482,0.5762839073997574,0.359,-0.02468195891127093,0.0452413583832419
fwd_brl,dev,pooled,14,4,-0.0684994379794143,-2.6571557528421272,0.8694,-0.1190258067318989,-0.01797306922692969
fwd_brl,dev,soy,8,2,-0.10185853837416814,-17.947200872530214,0.5064,-0.11298222658322062,-0.09073485016511566
fwd_brl,dev,corn_second,6,2,-0.031910181613134386,-0.8770261825149541,0.746,-0.10322254143633638,0.03940217821006761
fwd_brl,holdout,pooled,35,10,0.008220311370906027,0.5632775090748015,0.3324,-0.020382844212466174,0.036823466954278225
fwd_brl,holdout,soy,20,5,0.0020628770000040084,0.04397358909418257,0.4268,-0.08988241806982178,0.09400817206982978
fwd_brl,holdout,corn_second,15,5,0.009329043270360415,0.5676749608707115,0.3772,-0.0228805662429373,0.041538652783658134
