scope,unit,h,n,n_clusters,beta,se,tstat,pvalue,p_one_sided,boot_p,boot_p_one_sided,ci_low,ci_high
full,pooled,1,49,14,-0.013629627226969488,0.007602385431576208,-1.7928092898788544,0.07300342355446526,0.9634982882227674,0.0048,0.9976,-0.02853002886945085,0.0012707744155118737
full,soy,1,28,7,-0.024481176249329564,0.014470158578768127,-1.6918388361859746,0.09067670654255988,0.9546616467287201,0.1792,0.9104,-0.05284216591429839,0.003879813415639262
full,corn_second,1,21,7,-0.010644658982024437,0.007800206670673775,-1.364663711032795,0.17235877027057767,0.9138206148647112,0.0332,0.9834,-0.025932783128514117,0.004643465164465245
full,pooled,2,49,14,-0.014849752277089366,0.01838646906694595,-0.8076456780810257,0.41929458329629354,0.7903527083518532,0.3012,0.8493999999999999,-0.050886569451163204,0.02118706489698447
full,soy,2,28,7,-0.03383326300711504,0.02628090074704304,-1.287370753870441,0.19796509299928922,0.9010174535003554,0.2604,0.8698,-0.08534288195259121,0.017676355938361123
full,corn_second,2,21,7,-0.009627900853855755,0.021238298792066325,-0.45332730969263446,0.6503130705139588,0.6748434647430206,0.5572,0.7214,-0.05125420157920628,0.031998399871494776
full,pooled,3,49,14,-0.016598536083498795,0.017980602159535716,-0.9231357179379021,0.35593648297785285,0.8220317585110736,0.226,0.887,-0.051839868736531916,0.018642796569534326
full,soy,3,28,7,-0.04103809495555899,0.032059483420804474,-1.280061017106969,0.20052367734395626,0.8997381613280219,0.2436,0.8782,-0.10387352782329473,0.02179733791217675
full,corn_second,3,21,7,-0.009875873079051644,0.01985824349022097,-0.4973185611262616,0.6189644247545039,0.6905177876227481,0.4676,0.7662,-0.048797315116111725,0.029045568958008434
dev,pooled,1,14,4,-0.034689595521864215,0.030151756314032736,-1.150499996105353,0.24993799581266418,0.8750310020936679,0.3308,0.8346,-0.09378595196799655,0.02440676092426812
dev,soy,1,8,2,0.010350145778937508,0.010990392291913132,0.9417448899029086,0.3463232663968452,0.1731616331984226,0.5048,0.2524,-0.011190627289178851,0.03189091884705387
dev,corn_second,1,6,2,-0.08409052725038058,0.017416718704104103,-4.828149818516926,1.3780740375529678e-06,0.9999993109629812,0.5048,0.7476,-0.11822666863928974,-0.04995438586147141
dev,pooled,2,14,4,-0.03761337973015424,0.03885421424852153,-0.968064351773257,0.33301223199407926,0.8334938840029604,0.3308,0.8346,-0.11376624030485943,0.03853948084455095
dev,soy,2,8,2,0.022229525088893438,0.017022246370677053,1.305910195682902,0.19158309894722336,0.09579154947361168,0.5048,0.2524,-0.011133464733601234,0.05559251491138811
dev,corn_second,2,6,2,-0.10325086276226159,0.0039907448263443975,-25.872579494600625,1.355757591472046e-147,1.0,0.5048,0.7476,-0.11107257889338616,-0.09542914663113701
dev,pooled,3,14,4,-0.011280887266652644,0.02102394875707044,-0.5365731907455699,0.591562466756747,0.7042187666216265,0.8516,0.5742,-0.05248706964332635,0.029925295110021056
dev,soy,3,8,2,0.016250261549906886,0.002814795033053389,5.773159807049674,7.779859104298527e-09,3.889929552149264e-09,0.0,0.0,0.010733364661260012,0.021767158438553758
dev,corn_second,3,6,2,-0.04147787250267291,0.03645040186557141,-1.137926343189377,0.2551512401828151,0.8724243799085925,0.9872,0.5064,-0.11291934738120446,0.02996360237585865
holdout,pooled,1,35,10,-0.009067211449232613,0.00675207718911993,-1.3428773391162074,0.1793116952431243,0.9103441523784379,0.1216,0.9392,-0.02230103956074212,0.004166616662276893
holdout,soy,1,20,5,-0.03392756691054177,0.023964616747147765,-1.415735843744707,0.15685285971394497,0.9215735701430275,0.648,0.6759999999999999,-0.08089735263825681,0.013042218817173268
holdout,corn_second,1,15,5,-0.004590757869477889,0.0032189946746391746,-1.4261464629457576,0.15382606947512656,0.9230869652624367,0.1428,0.9286,-0.0108998714981969,0.0017183557592411226
holdout,pooled,2,35,10,-0.009952712154787859,0.01731483410724201,-0.5748084037735649,0.5654208825593292,0.7172895587203354,0.496,0.752,-0.04388916340326794,0.023983739093692225
holdout,soy,2,20,5,-0.04246513712999728,0.045362811241425806,-0.9361222545047574,0.3492102460442805,0.8253948769778597,0.5656,0.7172000000000001,-0.13137461340068057,0.046444339140686006
holdout,corn_second,2,15,5,-0.004098396781329453,0.017260929862426267,-0.23743777502108254,0.8123171872307253,0.5938414063846373,0.6944,0.6528,-0.03792919765135684,0.02973240408869794
holdout,pooled,3,35,10,-0.01731458880092765,0.016971677634124507,-1.0202049069158408,0.3076312909471217,0.8461843545264391,0.2152,0.8924,-0.05057846572103564,0.015949288119180338
holdout,soy,3,20,5,-0.047908789839773806,0.051337059286871545,-0.9332203773507834,0.3507061956465485,0.8246469021767258,0.548,0.726,-0.14852757711423956,0.05270999743469194
holdout,corn_second,3,15,5,-0.011805676389227708,0.017067883451306932,-0.6916895362514159,0.48913231956005654,0.7554338402199717,0.314,0.843,-0.04525811324611649,0.021646760467661078
